"#","Date","Time, GMT-05:00","Temp, °C (LGR S/N: 20984924, SEN S/N: 20984924)","Intensity, Lux (LGR S/N: 20984924, SEN S/N: 20984924)"
1,05/13/21,03:12:11 PM,23.100,0.0
2,05/13/21,04:12:11 PM,23.292,0.0
3,05/13/21,05:12:11 PM,23.196,0.0
4,05/13/21,06:12:11 PM,23.100,0.0
5,05/13/21,07:12:11 PM,23.004,0.0
6,05/13/21,08:12:11 PM,23.004,0.0
7,05/13/21,09:12:11 PM,22.717,0.0
8,05/13/21,10:12:11 PM,22.429,0.0
9,05/13/21,11:12:11 PM,22.333,0.0
10,05/14/21,12:12:11 AM,22.429,0.0
11,05/14/21,01:12:11 AM,22.525,0.0
12,05/14/21,02:12:11 AM,22.621,0.0
13,05/14/21,03:12:11 AM,22.717,0.0
14,05/14/21,04:12:11 AM,22.717,0.0
15,05/14/21,05:12:11 AM,22.812,0.0
16,05/14/21,06:12:11 AM,22.812,0.0
17,05/14/21,07:12:11 AM,22.812,0.0
18,05/14/21,08:12:11 AM,22.812,0.0
19,05/14/21,09:12:11 AM,22.908,0.0
20,05/14/21,10:12:11 AM,23.004,0.0
21,05/14/21,11:12:11 AM,23.196,0.0
22,05/14/21,12:12:11 PM,23.292,0.0
23,05/14/21,01:12:11 PM,28.655,148801.0
24,05/14/21,02:12:11 PM,27.862,132267.5
25,05/14/21,03:12:11 PM,6.166,85422.8
26,05/14/21,04:12:11 PM,6.064,85422.8
27,05/14/21,05:12:11 PM,16.903,0.0
28,05/14/21,06:12:11 PM,20.996,0.0
29,05/14/21,07:12:11 PM,23.773,0.0
30,05/14/21,08:12:11 PM,24.545,0.0
31,05/14/21,09:12:11 PM,24.545,0.0
32,05/14/21,10:12:11 PM,24.448,0.0
33,05/14/21,11:12:11 PM,24.158,0.0
34,05/15/21,12:12:11 AM,23.773,0.0
35,05/15/21,01:12:11 AM,23.388,0.0
36,05/15/21,02:12:11 AM,23.100,0.0
37,05/15/21,03:12:11 AM,22.812,0.0
38,05/15/21,04:12:11 AM,22.525,0.0
39,05/15/21,05:12:11 AM,22.238,0.0
40,05/15/21,06:12:11 AM,22.046,0.0
41,05/15/21,07:12:11 AM,21.855,0.0
42,05/15/21,08:12:11 AM,21.855,0.0
43,05/15/21,09:12:11 AM,21.855,0.0
44,05/15/21,10:12:11 AM,22.333,0.0
45,05/15/21,11:12:11 AM,22.812,0.0
46,05/15/21,12:12:11 PM,23.292,0.0
47,05/15/21,01:12:11 PM,24.255,0.0
48,05/15/21,02:12:11 PM,25.708,0.0
49,05/15/21,03:12:11 PM,27.075,0.0
50,05/15/21,04:12:11 PM,28.159,0.0
51,05/15/21,05:12:11 PM,29.152,0.0
52,05/15/21,06:12:11 PM,30.054,0.0
53,05/15/21,07:12:11 PM,30.659,0.0
54,05/15/21,08:12:11 PM,30.659,0.0
55,05/15/21,09:12:11 PM,30.356,0.0
56,05/15/21,10:12:11 PM,29.652,0.0
57,05/15/21,11:12:11 PM,28.754,0.0
58,05/16/21,12:12:11 AM,27.862,0.0
59,05/16/21,01:12:11 AM,26.879,0.0
60,05/16/21,02:12:11 AM,26.097,0.0
61,05/16/21,03:12:11 AM,25.222,0.0
62,05/16/21,04:12:11 AM,24.351,0.0
63,05/16/21,05:12:11 AM,23.484,0.0
64,05/16/21,06:12:11 AM,22.621,0.0
65,05/16/21,07:12:11 AM,21.760,0.0
66,05/16/21,08:12:11 AM,19.377,0.0
67,05/16/21,09:12:11 AM,21.569,0.0
68,05/16/21,10:12:11 AM,22.621,0.0
69,05/16/21,11:12:11 AM,24.062,0.0
70,05/16/21,12:12:11 PM,25.319,0.0
71,05/16/21,01:12:11 PM,26.879,0.0
72,05/16/21,02:12:11 PM,28.060,0.0
73,05/16/21,03:12:11 PM,29.152,0.0
74,05/16/21,04:12:11 PM,30.255,0.0
75,05/16/21,05:12:11 PM,31.370,0.0
76,05/16/21,06:12:11 PM,32.291,0.0
77,05/16/21,07:12:11 PM,31.574,0.0
78,05/16/21,08:12:11 PM,31.166,0.0
79,05/16/21,09:12:11 PM,29.452,0.0
80,05/16/21,10:12:11 PM,25.708,0.0
81,05/16/21,11:12:11 PM,25.513,0.0
82,05/17/21,12:12:11 AM,25.610,0.0
83,05/17/21,01:12:11 AM,25.319,0.0
84,05/17/21,02:12:11 AM,24.641,0.0
85,05/17/21,03:12:11 AM,23.869,0.0
86,05/17/21,04:12:11 AM,23.004,0.0
87,05/17/21,05:12:11 AM,22.046,0.0
88,05/17/21,06:12:11 AM,20.901,0.0
89,05/17/21,07:12:11 AM,19.472,0.0
90,05/17/21,08:12:11 AM,17.855,0.0
91,05/17/21,09:12:11 AM,17.284,0.0
92,05/17/21,10:12:11 AM,17.475,0.0
93,05/17/21,11:12:11 AM,17.665,0.0
94,05/17/21,12:12:11 PM,18.236,0.0
95,05/17/21,01:12:11 PM,19.377,0.0
96,05/17/21,02:12:11 PM,20.329,0.0
97,05/17/21,03:12:11 PM,21.187,0.0
98,05/17/21,04:12:11 PM,22.046,0.0
99,05/17/21,05:12:11 PM,22.908,0.0
100,05/17/21,06:12:11 PM,23.677,0.0
101,05/17/21,07:12:11 PM,24.448,0.0
102,05/17/21,08:12:11 PM,24.931,0.0
103,05/17/21,09:12:11 PM,23.966,0.0
104,05/17/21,10:12:11 PM,23.292,0.0
105,05/17/21,11:12:11 PM,22.333,0.0
106,05/18/21,12:12:11 AM,21.187,0.0
107,05/18/21,01:12:11 AM,20.234,0.0
108,05/18/21,02:12:11 AM,19.187,0.0
109,05/18/21,03:12:11 AM,18.140,0.0
110,05/18/21,04:12:11 AM,17.094,0.0
111,05/18/21,05:12:11 AM,15.951,0.0
112,05/18/21,06:12:11 AM,14.996,0.0
113,05/18/21,07:12:11 AM,14.038,0.0
114,05/18/21,08:12:11 AM,13.173,0.0
115,05/18/21,09:12:11 AM,13.942,0.0
116,05/18/21,10:12:11 AM,16.237,0.0
117,05/18/21,11:12:11 AM,18.045,0.0
118,05/18/21,12:12:11 PM,19.758,0.0
119,05/18/21,01:12:11 PM,21.569,0.0
120,05/18/21,02:12:11 PM,23.292,0.0
121,05/18/21,03:12:11 PM,24.641,0.0
122,05/18/21,04:12:11 PM,25.805,0.0
123,05/18/21,05:12:11 PM,26.977,0.0
124,05/18/21,06:12:11 PM,27.961,0.0
125,05/18/21,07:12:11 PM,28.258,0.0
126,05/18/21,08:12:11 PM,28.159,0.0
127,05/18/21,09:12:11 PM,25.902,0.0
128,05/18/21,10:12:11 PM,25.222,0.0
129,05/18/21,11:12:11 PM,25.028,0.0
130,05/19/21,12:12:11 AM,24.545,0.0
131,05/19/21,01:12:11 AM,23.966,0.0
132,05/19/21,02:12:11 AM,23.292,0.0
133,05/19/21,03:12:11 AM,22.525,0.0
134,05/19/21,04:12:11 AM,21.760,0.0
135,05/19/21,05:12:11 AM,20.901,0.0
136,05/19/21,06:12:11 AM,20.138,0.0
