"#","Date","Time, GMT-05:00","Temp, °C (LGR S/N: 20985021, SEN S/N: 20985021)","Intensity, Lux (LGR S/N: 20985021, SEN S/N: 20985021)"
1,05/13/21,03:28:19 PM,23.773,0.0
2,05/13/21,04:28:19 PM,23.581,0.0
3,05/13/21,05:28:19 PM,23.581,0.0
4,05/13/21,06:28:19 PM,23.484,0.0
5,05/13/21,07:28:19 PM,23.388,0.0
6,05/13/21,08:28:19 PM,23.100,0.0
7,05/13/21,09:28:19 PM,22.812,0.0
8,05/13/21,10:28:19 PM,22.621,0.0
9,05/13/21,11:28:19 PM,22.621,0.0
10,05/14/21,12:28:19 AM,22.717,0.0
11,05/14/21,01:28:19 AM,22.812,0.0
12,05/14/21,02:28:19 AM,22.908,0.0
13,05/14/21,03:28:19 AM,23.004,0.0
14,05/14/21,04:28:19 AM,23.004,0.0
15,05/14/21,05:28:19 AM,23.100,0.0
16,05/14/21,06:28:19 AM,23.100,0.0
17,05/14/21,07:28:19 AM,23.100,0.0
18,05/14/21,08:28:19 AM,23.100,0.0
19,05/14/21,09:28:19 AM,23.292,0.0
20,05/14/21,10:28:19 AM,23.388,0.0
21,05/14/21,11:28:19 AM,23.581,0.0
22,05/14/21,12:28:19 PM,29.053,148801.0
23,05/14/21,01:28:19 PM,28.655,137778.7
24,05/14/21,02:28:19 PM,27.764,137778.7
25,05/14/21,03:28:19 PM,6.370,88178.4
26,05/14/21,04:28:19 PM,6.370,88178.4
27,05/14/21,05:28:19 PM,17.094,0.0
28,05/14/21,06:28:19 PM,20.424,0.0
29,05/14/21,07:28:19 PM,22.812,0.0
30,05/14/21,08:28:19 PM,24.158,0.0
31,05/14/21,09:28:19 PM,24.641,0.0
32,05/14/21,10:28:19 PM,24.738,0.0
33,05/14/21,11:28:19 PM,24.641,0.0
34,05/15/21,12:28:19 AM,24.351,0.0
35,05/15/21,01:28:19 AM,24.062,0.0
36,05/15/21,02:28:19 AM,23.773,0.0
37,05/15/21,03:28:19 AM,23.484,0.0
38,05/15/21,04:28:19 AM,23.196,0.0
39,05/15/21,05:28:19 AM,22.908,0.0
40,05/15/21,06:28:19 AM,22.717,0.0
41,05/15/21,07:28:19 AM,22.525,0.0
42,05/15/21,08:28:19 AM,22.525,0.0
43,05/15/21,09:28:19 AM,22.525,0.0
44,05/15/21,10:28:19 AM,22.812,0.0
45,05/15/21,11:28:19 AM,23.100,0.0
46,05/15/21,12:28:19 PM,23.484,0.0
47,05/15/21,01:28:19 PM,24.158,0.0
48,05/15/21,02:28:19 PM,25.319,0.0
49,05/15/21,03:28:19 PM,26.488,0.0
50,05/15/21,04:28:19 PM,27.567,0.0
51,05/15/21,05:28:19 PM,28.555,0.0
52,05/15/21,06:28:19 PM,29.452,0.0
53,05/15/21,07:28:19 PM,30.255,0.0
54,05/15/21,08:28:19 PM,30.659,0.0
55,05/15/21,09:28:19 PM,30.760,0.0
56,05/15/21,10:28:19 PM,30.356,0.0
57,05/15/21,11:28:19 PM,29.752,0.0
58,05/16/21,12:28:19 AM,29.053,0.0
59,05/16/21,01:28:19 AM,28.258,0.0
60,05/16/21,02:28:19 AM,27.468,0.0
61,05/16/21,03:28:19 AM,26.781,0.0
62,05/16/21,04:28:19 AM,25.902,0.0
63,05/16/21,05:28:19 AM,25.028,0.0
64,05/16/21,06:28:19 AM,24.158,0.0
65,05/16/21,07:28:19 AM,23.292,0.0
66,05/16/21,08:28:19 AM,20.519,0.0
67,05/16/21,09:28:19 AM,21.378,0.0
68,05/16/21,10:28:19 AM,22.046,0.0
69,05/16/21,11:28:19 AM,22.812,0.0
70,05/16/21,12:28:19 PM,23.581,0.0
71,05/16/21,01:28:19 PM,24.545,0.0
72,05/16/21,02:28:19 PM,25.708,0.0
73,05/16/21,03:28:19 PM,26.683,0.0
74,05/16/21,04:28:19 PM,27.665,0.0
75,05/16/21,05:28:19 PM,28.655,0.0
76,05/16/21,06:28:19 PM,29.552,0.0
77,05/16/21,07:28:19 PM,30.154,0.0
78,05/16/21,08:28:19 PM,30.457,0.0
79,05/16/21,09:28:19 PM,29.252,0.0
80,05/16/21,10:28:19 PM,26.097,0.0
81,05/16/21,11:28:19 PM,25.805,0.0
82,05/17/21,12:28:19 AM,25.610,0.0
83,05/17/21,01:28:19 AM,25.222,0.0
84,05/17/21,02:28:19 AM,24.641,0.0
85,05/17/21,03:28:19 AM,23.966,0.0
86,05/17/21,04:28:19 AM,23.100,0.0
87,05/17/21,05:28:19 AM,22.238,0.0
88,05/17/21,06:28:19 AM,21.187,0.0
89,05/17/21,07:28:19 AM,19.948,0.0
90,05/17/21,08:28:19 AM,18.521,0.0
91,05/17/21,09:28:19 AM,17.665,0.0
92,05/17/21,10:28:19 AM,17.570,0.0
93,05/17/21,11:28:19 AM,17.760,0.0
94,05/17/21,12:28:19 PM,18.236,0.0
95,05/17/21,01:28:19 PM,19.187,0.0
96,05/17/21,02:28:19 PM,20.138,0.0
97,05/17/21,03:28:19 PM,20.996,0.0
98,05/17/21,04:28:19 PM,21.951,0.0
99,05/17/21,05:28:19 PM,22.908,0.0
100,05/17/21,06:28:19 PM,23.677,0.0
101,05/17/21,07:28:19 PM,24.448,0.0
102,05/17/21,08:28:19 PM,24.931,0.0
103,05/17/21,09:28:19 PM,23.966,0.0
104,05/17/21,10:28:19 PM,23.100,0.0
105,05/17/21,11:28:19 PM,21.951,0.0
106,05/18/21,12:28:19 AM,20.805,0.0
107,05/18/21,01:28:19 AM,19.758,0.0
108,05/18/21,02:28:19 AM,18.806,0.0
109,05/18/21,03:28:19 AM,17.760,0.0
110,05/18/21,04:28:19 AM,16.713,0.0
111,05/18/21,05:28:19 AM,15.664,0.0
112,05/18/21,06:28:19 AM,14.613,0.0
113,05/18/21,07:28:19 AM,13.750,0.0
114,05/18/21,08:28:19 AM,12.980,0.0
115,05/18/21,09:28:19 AM,14.230,0.0
116,05/18/21,10:28:19 AM,16.237,0.0
117,05/18/21,11:28:19 AM,17.855,0.0
118,05/18/21,12:28:19 PM,19.377,0.0
119,05/18/21,01:28:19 PM,20.901,0.0
120,05/18/21,02:28:19 PM,22.525,0.0
121,05/18/21,03:28:19 PM,23.773,0.0
122,05/18/21,04:28:19 PM,24.835,0.0
123,05/18/21,05:28:19 PM,26.000,0.0
124,05/18/21,06:28:19 PM,26.781,0.0
125,05/18/21,07:28:19 PM,27.173,0.0
126,05/18/21,08:28:19 PM,27.272,0.0
127,05/18/21,09:28:19 PM,26.781,0.0
128,05/18/21,10:28:19 PM,26.390,0.0
129,05/18/21,11:28:19 PM,25.610,0.0
130,05/19/21,12:28:19 AM,25.125,0.0
131,05/19/21,01:28:19 AM,24.351,0.0
132,05/19/21,02:28:19 AM,23.677,0.0
133,05/19/21,03:28:19 AM,22.812,0.0
134,05/19/21,04:28:19 AM,21.951,0.0
135,05/19/21,05:28:19 AM,21.187,0.0
136,05/19/21,06:28:19 AM,20.424,0.0
137,05/19/21,07:28:19 AM,19.472,0.0
138,05/19/21,08:28:19 AM,18.521,0.0
139,05/19/21,09:28:19 AM,18.331,0.0
140,05/19/21,10:28:19 AM,19.567,0.0
